24/09/2023, 123, 3.50
24/09/2023, 123, 3.50
24/09/2023, 456, 2.50
24/09/2023, 123, 3.50
24/09/2023, 123, 3.50
24/09/2023, 123, 3.50
24/09/2023, 123, 3.50
24/09/2023, 123, 3.50
24/09/2023, 456, 2.50
24/09/2023, 126, 4.50
24/09/2023, 123, 3.50
24/09/2023, 126, 4.50
24/09/2023, 123, 3.50
24/09/2023, 456, 2.50
24/09/2023, 123, 3.50
24/09/2023, 456, 2.50
24/09/2023, 126, 4.50
24/09/2023, 123, 3.50
25/09/2023, 123, 3.50
25/09/2023, 456, 2.50
25/09/2023, 123, 3.50
29/09/2023, 123, 3.50
29/09/2023, 456, 2.50
29/09/2023, 123, 3.50
29/09/2023, 123, 3.50
29/09/2023, 456, 2.50
29/09/2023, 123, 3.50
29/09/2023, 123, 3.50
